Country,Continent,Education,Years of Education,,,Continent,Education,Years of Education,,,,,,,,,,,,,,
Kenya,Africa,Mean,6.3,,,Asia,Mean,8.185417,,,6.3,11,7.6,14.5,10.3,17.6,8.6,13.4,,,,
Angola,Africa,Mean,4.7,,,Asia,Mean,8.185417,,,4.7,11.4,10.8,13.7,12.5,16.5,9.7,12.4,,,,
Swaziland,Africa,Mean,7.1,,,Asia,Mean,8.185417,,,7.1,11.3,12.1,13.8,11.6,14,10.5,13.6,,,,
Tanzania (United Republic of),Africa,Mean,5.1,,,Asia,Mean,8.185417,,,5.1,9.2,11.2,11.9,9.6,13.5,7.6,13.1,,,,
Nigeria,Africa,Mean,5.9,,,Asia,Mean,8.185417,,,5.9,9,9.9,13.5,12.2,15.1,6.5,12.3,,,,
Cameroon,Africa,Mean,6,,,Asia,Mean,8.185417,,,6,10.4,10.9,12.3,11.8,15.5,6,11.5,,,,
Madagascar,Africa,Mean,6,,,Asia,Expected,12.8625,,,6,10.3,7.5,13.1,12.4,16.4,5.6,10.7,,,,
Zimbabwe,Africa,Mean,7.3,,,Asia,Expected,12.8625,,,7.3,10.9,9.3,14.6,10.3,14.4,5.5,11.1,,,,
Mauritania,Africa,Mean,3.8,,,Asia,Expected,12.8625,,,3.8,8.5,7.3,13.5,8.2,16.3,4.9,8.7,,,,
Comoros,Africa,Mean,4.6,,,Asia,Expected,12.8625,,,4.6,11.5,5.8,13,11.6,15.4,9.080769231,13.52692308,,,,
Lesotho,Africa,Mean,5.9,,,Asia,Expected,12.8625,,,5.9,11.1,9.9,10.8,11.5,15.2,,,,,,
Togo,Africa,Mean,4.5,,,Asia,Expected,12.8625,,,4.5,12.2,7.6,13,11,14.8,,,,,,
Rwanda,Africa,Mean,3.7,,,Asia,Expected,12.8625,,,3.7,10.3,8.9,13,11.2,15.2,,,,,,
Uganda,Africa,Mean,5.4,,,Asia,Expected,12.8625,,,5.4,9.8,10.9,11.5,12,15.7,,,,,,
Benin,Africa,Mean,3.3,,,Asia,Expected,12.8625,,,3.3,11.1,8.9,11.3,10.8,14.2,,,,,,
Sudan,Africa,Mean,3.1,,,Asia,Expected,12.8625,,,3.1,7,7.5,11.9,10.6,14.4,,,,,,
Djibouti,Africa,Mean,3.8,,,Asia,Expected,12.8625,,,3.8,6.4,10.6,12.5,10.5,14.4,,,,,,
South Sudan,Africa,Mean,5.4,,,Asia,Expected,12.8625,,,5.4,7.6,6.4,10.1,9.3,13.4,,,,,,
Senegal,Africa,Mean,2.5,,,Europe,Mean,11.15128,,,2.5,7.9,10.4,11.2,11.3,15.1,,,,,,
C̫te d'Ivoire,Africa,Mean,4.3,,,Europe,Mean,11.15128,,,4.3,8.9,5.4,11.7,9.3,11.8,,,,,,
Malawi,Africa,Mean,4.3,,,Europe,Mean,11.15128,,,4.3,10.8,3,12.6,8.3,13.6,,,,,,
Ethiopia,Africa,Mean,2.4,,,Europe,Mean,11.15128,,,2.4,8.5,4.4,11.7,11.2,11.9,,,,,,
Gambia,Africa,Mean,2.8,,,Europe,Mean,11.15128,,,2.8,8.8,6.3,12.3,11.15128205,15.49487179,,,,,,
Congo (Democratic Republic of the),Africa,Mean,6,,,Europe,Mean,11.15128,,,6,9.8,5,10.6,,,,,,,,
Liberia,Africa,Mean,4.1,,,Europe,Mean,11.15128,,,4.1,9.5,5.1,10,,,,,,,,
