Country,Continent,Education,Years of Education,,,Continent,Education,Years of Education,,,,,,,,,,,,,,
Barbados,North America,Expected,15.4,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,North America,Expected,14,,,,,,,,,,,,,,,,,,,
Panama,North America,Expected,13.3,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,North America,Expected,12.3,,,,,,,,,,,,,,,,,,,
Cuba,North America,Expected,13.8,,,,,,,,,,,,,,,,,,,
Costa Rica,North America,Expected,13.9,,,,,,,,,,,,,,,,,,,
Mexico,North America,Expected,13.1,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,North America,Expected,12.9,,,,,,,,,,,,,,,,,,,
Grenada,North America,Expected,15.8,,,,,,,,,,,,,,,,,,,
Saint Lucia,North America,Expected,12.6,,,,,,,,,,,,,,,,,,,
Dominica,North America,Expected,12.7,,,,,,,,,,,,,,,,,,,
Colombia,North America,Expected,13.5,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,North America,Expected,13.4,,,,,,,,,,,,,,,,,,,
Jamaica,North America,Expected,12.4,,,,,,,,,,,,,,,,,,,
Belize,North America,Expected,13.6,,,,,,,,,,,,,,,,,,,
Dominican Republic,North America,Expected,13.1,,,,,,,,,,,,,,,,,,,
El Salvador,North America,Expected,12.3,,,,,,,,,,,,,,,,,,,
Nicaragua,North America,Expected,11.5,,,,,,,,,,,,,,,,,,,
Guatemala,North America,Expected,10.7,,,,,,,,,,,,,,,,,,,
Honduras,North America,Expected,11.1,,,,,,,,,,,,,,,,,,,
Haiti,North America,Expected,8.7,,,,,,,,,,,,,,,,,,,
Australia,Oceania,Mean,13,,,,,,,,,,,,,,,,,,,
New Zealand,Oceania,Mean,12.5,,,,,,,,,,,,,,,,,,,
Palau,Oceania,Mean,12.3,,,,,,,,,,,,,,,,,,,
Fiji,Oceania,Mean,9.9,,,,,,,,,,,,,,,,,,,
Tonga,Oceania,Mean,10.7,,,,,,,,,,,,,,,,,,,
Samoa,Oceania,Mean,10.3,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),Oceania,Mean,9.7,,,,,,,,,,,,,,,,,,,
Vanuatu,Oceania,Mean,6.8,,,,,,,,,,,,,,,,,,,
Kiribati,Oceania,Mean,7.8,,,,,,,,,,,,,,,,,,,
Solomon Islands,Oceania,Mean,5,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Oceania,Mean,4,,,,,,,,,,,,,,,,,,,
Australia,Oceania,Expected,20.2,,,,,,,,,,,,,,,,,,,
New Zealand,Oceania,Expected,19.2,,,,,,,,,,,,,,,,,,,
Palau,Oceania,Expected,13.7,,,,,,,,,,,,,,,,,,,
Fiji,Oceania,Expected,15.7,,,,,,,,,,,,,,,,,,,
Tonga,Oceania,Expected,14.7,,,,,,,,,,,,,,,,,,,
Samoa,Oceania,Expected,12.9,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),Oceania,Expected,11.7,,,,,,,,,,,,,,,,,,,
Vanuatu,Oceania,Expected,10.6,,,,,,,,,,,,,,,,,,,
Kiribati,Oceania,Expected,12.3,,,,,,,,,,,,,,,,,,,
Solomon Islands,Oceania,Expected,9.2,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Oceania,Expected,9.9,,,,,,,,,,,,,,,,,,,
Argentina,South America,Mean,9.8,,,,,,,,,,,,,,,,,,,
Chile,South America,Mean,9.8,,,,,,,,,,,,,,,,,,,
Uruguay,South America,Mean,8.5,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),South America,Mean,8.9,,,,,,,,,,,,,,,,,,,
Brazil,South America,Mean,7.7,,,,,,,,,,,,,,,,,,,
Peru,South America,Mean,9,,,,,,,,,,,,,,,,,,,
Ecuador,South America,Mean,7.6,,,,,,,,,,,,,,,,,,,
Suriname,South America,Mean,7.7,,,,,,,,,,,,,,,,,,,
Paraguay,South America,Mean,7.7,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),South America,Mean,8.2,,,,,,,,,,,,,,,,,,,
Guyana,South America,Mean,8.5,,,,,,,,,,,,,,,,,,,
Argentina,South America,Expected,17.9,,,,,,,,,,,,,,,,,,,
Chile,South America,Expected,15.2,,,,,,,,,,,,,,,,,,,
Uruguay,South America,Expected,15.5,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),South America,Expected,14.2,,,,,,,,,,,,,,,,,,,
Brazil,South America,Expected,15.2,,,,,,,,,,,,,,,,,,,
Peru,South America,Expected,13.1,,,,,,,,,,,,,,,,,,,
Ecuador,South America,Expected,14.2,,,,,,,,,,,,,,,,,,,
Suriname,South America,Expected,12.7,,,,,,,,,,,,,,,,,,,
Paraguay,South America,Expected,11.9,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),South America,Expected,13.2,,,,,,,,,,,,,,,,,,,
Guyana,South America,Expected,10.3,,,,,,,,,,,,,,,,,,,
