Country,Continent,Gender,Estimated Gross National Income per Capita
Guyana,South America,Male,8804
Nicaragua,North America,Male,5979
Morocco,Africa,Male,10573
Namibia,Africa,Male,11267
Guatemala,North America,Male,8934
Tajikistan,Asia,Male,3017
India,Asia,Male,8656
Honduras,North America,Male,5508
Bhutan,Asia,Male,8418
Timor-Leste,Asia,Male,7530
Syrian Arab Republic,Asia,Male,4523
Vanuatu,Oceania,Male,3445
Congo,Africa,Male,6859
Kiribati,Oceania,Male,0
Equatorial Guinea,Africa,Male,24850
Zambia,Africa,Male,4452
Ghana,Africa,Male,4515
Lao People's Democratic Republic,Asia,Male,5279
Bangladesh,Asia,Male,4083
Cambodia,Asia,Male,3393
Sao Tome and Principe,Africa,Male,3976
Kenya,Africa,Male,3270
Nepal,Asia,Male,2690
Pakistan,Asia,Male,8100
Myanmar,Asia,Male,5386
Angola,Africa,Male,8169
Swaziland,Africa,Male,7235
Tanzania (United Republic of),Africa,Male,2502
Nigeria,Africa,Male,6585
Cameroon,Africa,Male,3341
Madagascar,Africa,Male,1560
Zimbabwe,Africa,Male,1850
Mauritania,Africa,Male,5468
Solomon Islands,Oceania,Male,2019
Papua New Guinea,Oceania,Male,2768
Comoros,Africa,Male,2123
Yemen,Asia,Male,5412
Lesotho,Africa,Male,4017
Togo,Africa,Male,1376
Haiti,North America,Male,1966
Rwanda,Africa,Male,1612
Uganda,Africa,Male,1997
Benin,Africa,Male,2043
Sudan,Africa,Male,5722
Djibouti,Africa,Male,4522
South Sudan,Africa,Male,0
Senegal,Africa,Male,2739
Afghanistan,Asia,Male,3227
C̫te d'Ivoire,Africa,Male,4157
Malawi,Africa,Male,815
Ethiopia,Africa,Male,1765
Gambia,Africa,Male,1753
Congo (Democratic Republic of the),Africa,Male,765
Liberia,Africa,Male,930
Guinea-Bissau,Africa,Male,1593
Mali,Africa,Male,2195
Mozambique,Africa,Male,1210
Sierra Leone,Africa,Male,1981
Guinea,Africa,Male,1314
Burkina Faso,Africa,Male,1859
Burundi,Africa,Male,825
Chad,Africa,Male,2513
Eritrea,Africa,Male,1290
Central African Republic,Africa,Male,689
Niger,Africa,Male,1319
