Country,Continent,Gender,Estimated Gross National Income per Capita
Iceland,Europe,Male,41486
Korea (Republic of),Asia,Male,46018
Israel,Asia,Male,39064
Luxembourg,Europe,Male,69800
Japan,Asia,Male,49541
Belgium,Europe,Male,50845
France,Europe,Male,45497
Austria,Europe,Male,58826
Finland,Europe,Male,45994
Slovenia,Europe,Male,33593
Spain,Europe,Male,40221
Italy,Europe,Male,44148
Czech Republic,Europe,Male,33604
Greece,Europe,Male,31952
Estonia,Europe,Male,30254
Brunei Darussalam,Asia,Male,90437
Cyprus,Europe,Male,34400
Qatar,Asia,Male,143979
Andorra,Europe,Male,0
Slovakia,Europe,Male,32122
Poland,Europe,Male,28271
Lithuania,Europe,Male,28656
Malta,Europe,Male,39432
Saudi Arabia,Asia,Male,77044
Argentina,South America,Male,30237
United Arab Emirates,Asia,Male,77300
Chile,South America,Male,27992
Portugal,Europe,Male,30543
Hungary,Europe,Male,28960
Bahrain,Asia,Male,49890
Latvia,Europe,Male,26845
Croatia,Europe,Male,22853
Kuwait,Asia,Male,111988
Montenegro,Europe,Male,18094
Belarus,Europe,Male,21010
Russian Federation,Asia,Male,28287
Oman,Asia,Male,46400
Romania,Europe,Male,21117
Uruguay,South America,Male,24166
Bahamas,North America,Male,24957
Kazakhstan,Asia,Male,26746
Barbados,North America,Male,14739
Antigua and Barbuda,North America,Male,0
Bulgaria,Europe,Male,18926
Palau,Oceania,Male,0
Panama,North America,Male,22597
Malaysia,Asia,Male,30320
Mauritius,Africa,Male,24581
Seychelles,Africa,Male,0
Trinidad and Tobago,North America,Male,32656
Serbia,Europe,Male,14799
Cuba,North America,Male,9665
Lebanon,Asia,Male,25391
Costa Rica,North America,Male,17033
Iran (Islamic Republic of),Asia,Male,25924
Venezuela (Bolivarian Republic of),South America,Male,19840
Turkey,Asia,Male,27645
Sri Lanka,Asia,Male,14307
Mexico,North America,Male,22252
Brazil,South America,Male,19084
Georgia,Asia,Male,9718
Saint Kitts and Nevis,North America,Male,0
Azerbaijan,Asia,Male,22814
Grenada,North America,Male,0
Jordan,Asia,Male,18831
The former Yugoslav Republic of Macedonia,Europe,Male,14754
Ukraine,Europe,Male,10120
Algeria,Africa,Male,22009
Peru,South America,Male,13977
Albania,Europe,Male,12655
Armenia,Asia,Male,10089
Bosnia and Herzegovina,Europe,Male,12912
Ecuador,South America,Male,12723
Saint Lucia,North America,Male,11576
China,Asia,Male,14795
Fiji,Oceania,Male,10592
Mongolia,Asia,Male,12462
Thailand,Asia,Male,14888
Dominica,North America,Male,0
Libya,Africa,Male,22392
Tunisia,Africa,Male,16159
Colombia,North America,Male,14372
Saint Vincent and the Grenadines,North America,Male,12541
Jamaica,North America,Male,9059
Tonga,Oceania,Male,6336
Belize,North America,Male,10198
Dominican Republic,North America,Male,14903
Suriname,South America,Male,20970
Maldives,Asia,Male,16073
Samoa,Oceania,Male,7124
Botswana,Africa,Male,18096
Moldova (Republic of),Europe,Male,5915
Egypt,Africa,Male,16049
Turkmenistan,Asia,Male,17552
Gabon,Africa,Male,19177
Indonesia,Asia,Male,13052
Paraguay,South America,Male,9678
"Palestine, State of",Asia,Male,7726
Uzbekistan,Asia,Male,7342
Philippines,Asia,Male,10439
El Salvador,North America,Male,9406
South Africa,Africa,Male,15737
Viet Nam,Asia,Male,5570
Bolivia (Plurinational State of),South America,Male,7140
Kyrgyzstan,Asia,Male,3992
Iraq,Asia,Male,23515
Cabo Verde,Africa,Male,8105
Micronesia (Federated States of),Oceania,Male,0
