Country,Continent,Gender,Life Expectancy at Birth
Sudan,Africa,Female,65
Djibouti,Africa,Female,63.7
South Sudan,Africa,Female,56.7
Senegal,Africa,Female,68.3
Afghanistan,Asia,Female,61.6
C̫te d'Ivoire,Africa,Female,52.4
Malawi,Africa,Female,63.7
Ethiopia,Africa,Female,66
Gambia,Africa,Female,61.6
Congo (Democratic Republic of the),Africa,Female,60.1
Liberia,Africa,Female,61.8
Guinea-Bissau,Africa,Female,57
Mali,Africa,Female,57.8
Mozambique,Africa,Female,56.5
Sierra Leone,Africa,Female,51.4
Guinea,Africa,Female,59.2
Burkina Faso,Africa,Female,59.9
Burundi,Africa,Female,58.7
Chad,Africa,Female,52.7
Eritrea,Africa,Female,65.9
Central African Republic,Africa,Female,52.6
Niger,Africa,Female,62.4
Norway,Europe,Male,79.5
Australia,Oceania,Male,80.3
Switzerland,Europe,Male,80.8
Denmark,North America,Male,78.3
Netherlands,North America,Male,79.7
Germany,Europe,Male,78.5
Ireland,Europe,Male,78.8
United States,North America,Male,76.7
Canada,North America,Male,80
New Zealand,Oceania,Male,80
Singapore,Asia,Male,79.9
"Hong Kong, China (SAR)",Asia,Male,81.2
Liechtenstein,Europe,Male,0
Sweden,Europe,Male,80.4
United Kingdom,Europe,Male,78.7
Iceland,Europe,Male,81
Korea (Republic of),Asia,Male,78.5
Israel,Asia,Male,80.5
Luxembourg,Europe,Male,79.3
Japan,Asia,Male,80.2
Belgium,Europe,Male,78.3
France,Europe,Male,79.2
Austria,Europe,Male,78.8
Finland,Europe,Male,78
Slovenia,Europe,Male,77.3
Spain,Europe,Male,79.8
Italy,Europe,Male,80.6
Czech Republic,Europe,Male,75.7
Greece,Europe,Male,78
Estonia,Europe,Male,72
Brunei Darussalam,Asia,Male,77
Cyprus,Europe,Male,78
Qatar,Asia,Male,77.3
Andorra,Europe,Male,0
Slovakia,Europe,Male,72.5
Poland,Europe,Male,73.4
Lithuania,Europe,Male,67.7
Malta,Europe,Male,78.8
Saudi Arabia,Asia,Male,73
Argentina,South America,Male,72.4
United Arab Emirates,Asia,Male,76.3
Chile,South America,Male,78.6
Portugal,Europe,Male,77.9
Hungary,Europe,Male,71.5
Bahrain,Asia,Male,75.8
Latvia,Europe,Male,69.1
Croatia,Europe,Male,74
Kuwait,Asia,Male,73.5
Montenegro,Europe,Male,74.1
Belarus,Europe,Male,65.5
Russian Federation,Asia,Male,64.4
Oman,Asia,Male,75.1
Romania,Europe,Male,71.2
Uruguay,South America,Male,73.5
Bahamas,North America,Male,72.3
Kazakhstan,Asia,Male,64.6
Barbados,North America,Male,73.2
Antigua and Barbuda,North America,Male,73.5
Bulgaria,Europe,Male,70.8
Palau,Oceania,Male,0
Panama,North America,Male,74.6
Malaysia,Asia,Male,72.4
Mauritius,Africa,Male,70.9
Seychelles,Africa,Male,68.9
Trinidad and Tobago,North America,Male,67
Serbia,Europe,Male,72.1
Cuba,North America,Male,77.4
Lebanon,Asia,Male,77.6
Costa Rica,North America,Male,77
Iran (Islamic Republic of),Asia,Male,74.3
Venezuela (Bolivarian Republic of),South America,Male,70.2
Turkey,Asia,Male,72
Sri Lanka,Asia,Male,71.5
Mexico,North America,Male,74.4
Brazil,South America,Male,70.7
Georgia,Asia,Male,71.2
Saint Kitts and Nevis,North America,Male,0
